Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
LVAD001_S1_R1_001	35325048	3857527	35325048	2663379575	6908466	2650964006	0.46615845208619955
LVAD001_S1_R2_001	35325048	4565779	35325048	2663526229	59735188	2597379010	2.4834453770269214
LVAD006_S2_R1_001	30371557	3372827	30371557	2284845633	8522322	2271343732	0.5909327442078447
LVAD006_S2_R2_001	30371557	3813684	30371557	2286059168	46275449	2234044214	2.27531092493578
LVAD013_S3_R1_001	38369663	4235896	38369663	2894343278	6378333	2881886927	0.43036881957579604
LVAD013_S3_R2_001	38369663	4979488	38369663	2893983757	58663741	2828368739	2.26729047256363
LVAD014_S4_R1_001	33906432	3692394	33906432	2558103816	5580497	2547227199	0.42518278312126173
LVAD014_S4_R2_001	33906432	4258564	33906432	2558060250	49699856	2502461842	2.1734596751581594
LVAD032_S5_R1_001	41394467	4541729	41394467	3123528308	6869755	3110171787	0.42761005129331453
LVAD032_S5_R2_001	41394467	5221176	41394467	3123586989	55121988	3061230789	1.9963010545117879
LVAD054_S6_R1_001	34560493	3848092	34560493	2607031806	6370501	2595188388	0.45428743802598626
LVAD054_S6_R2_001	34560493	4252479	34560493	2607636005	49052324	2552714985	2.106161285343964
LVAD058_S9_R1_001	43502611	4807027	43502611	3283466385	7973654	3268740150	0.4484965969889166
LVAD058_S9_R2_001	43502611	5658352	43502611	3283549392	54201519	3221535464	1.888624795810594
LVAD060_S7_R1_001	32228366	3464382	32228366	2430271619	6004365	2419285299	0.45206140392326244
LVAD060_S7_R2_001	32228366	4021897	32228366	2430175648	41894697	2382596233	1.9578590971050667
LVAD066_S8_R1_001	37059467	4088476	37059467	2795856085	6024889	2784009070	0.42373479320198987
LVAD066_S8_R2_001	37059467	4672140	37059467	2796461839	59300522	2730431141	2.361222923879134
LVAD067_S9_R1_001	34428917	3792205	34428917	2590167758	9185253	2575391068	0.5704916198713643
LVAD067_S9_R2_001	34428917	4370112	34428917	2591049767	48748930	2535712607	2.135704250253407
LVAD075_S10_R1_001	36731492	4030403	36731492	2770999402	5953265	2759261561	0.4235959412884781
LVAD075_S10_R2_001	36731492	4586672	36731492	2771550827	54829285	2710425314	2.2054624582210485
LVAD079_S11_R1_001	36821816	4011805	36821816	2776551347	6362884	2764343275	0.43968471943407567
LVAD079_S11_R2_001	36821816	4687695	36821816	2776835507	52715314	2717652597	2.131307736839595
LVAD083_S1_R1_001	40761002	4641839	40761002	3074386498	7862608	3059907697	0.47094927750362503
LVAD083_S1_R2_001	40761002	5174969	40761002	3076462172	59118987	3010374855	2.1481595841315615
LVAD084_S2_R1_001	43170357	4842749	43170357	3254878986	9361505	3238497567	0.5032881121067891
LVAD084_S2_R2_001	43170357	5417794	43170357	3257370889	61595006	3188391351	2.1176445775008585
LVAD087_S3_R1_001	44359450	4930110	44359450	3346661031	9024150	3330656777	0.4782155662540417
LVAD087_S3_R2_001	44359450	5710882	44359450	3348390281	60294643	3280397221	2.030619321344279
LVAD090_S4_R1_001	45922729	5038008	45922729	3463267086	10092582	3446029477	0.49772681609459907
LVAD090_S4_R2_001	45922729	5946873	45922729	3464520762	58194312	3398179967	1.9148620994755636
LVAD092_S5_R1_001	41064403	4593937	41064403	3095743010	8537238	3080522795	0.4916498220567733
LVAD092_S5_R2_001	41064403	5220582	41064403	3098073936	53756669	3037263940	1.9628323034315085
LVAD106_S6_R1_001	36658479	4132838	36658479	2765707307	7824277	2752010503	0.4952369314472798
LVAD106_S6_R2_001	36658479	4556304	36658479	2767091205	53401203	2707574563	2.150873881296587
LVAD111_S7_R1_001	34291411	3896720	34291411	2586352482	7072336	2573596443	0.4932057439493276
LVAD111_S7_R2_001	34291411	4255634	34291411	2588393694	44693747	2537962071	1.9483752845211497
LVAD119_S8_R1_001	36677060	4088505	36677060	2766475137	7642348	2752977932	0.4878845582048692
LVAD119_S8_R2_001	36677060	4669501	36677060	2767822189	50399660	2711073152	2.0503136807535722
