Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
LVAD001_S1_R1_001_val_1	LVAD001_S1_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34709997.0	0.0	20-76	49.0	27.90791979364088	75.02954598353898	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD001_S1_R2_001_val_2	LVAD001_S1_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34709997.0	0.0	20-76	50.0	36.6688059496562	74.369924376542	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD006_S2_R1_001_val_1	LVAD006_S2_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29779398.0	0.0	20-76	49.0	24.38733488721518	75.03656527912351	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD006_S2_R2_001_val_2	LVAD006_S2_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29779398.0	0.0	20-76	51.0	31.27972593538555	74.5099193744615	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD013_S3_R1_001_val_1	LVAD013_S3_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37777191.0	0.0	20-76	48.0	26.16252492787194	75.03482585563336	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD013_S3_R2_001_val_2	LVAD013_S3_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37777191.0	0.0	20-76	49.0	34.25417920357043	74.44852699609137	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD014_S4_R1_001_val_1	LVAD014_S4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33412564.0	0.0	20-76	49.0	25.32792280391139	75.03420288248456	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD014_S4_R2_001_val_2	LVAD014_S4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33412564.0	0.0	20-76	50.0	32.81865500149497	74.4828462730367	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD032_S5_R1_001_val_1	LVAD032_S5_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40857711.0	0.0	20-76	49.0	26.53157043341947	75.026145395174	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD032_S5_R2_001_val_2	LVAD032_S5_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40857711.0	0.0	20-76	50.0	34.14662732400818	74.52246421734199	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD054_S6_R1_001_val_1	LVAD054_S6_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34072267.0	0.0	20-76	49.0	23.22671656333511	75.00724979644002	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD054_S6_R2_001_val_2	LVAD054_S6_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34072267.0	0.0	20-76	50.0	30.272818244458044	74.5058527511539	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD058_S9_R1_001_val_1	LVAD058_S9_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43082339.0	0.0	20-76	48.0	26.141007370274867	74.99344982174715	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD058_S9_R2_001_val_2	LVAD058_S9_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43082339.0	0.0	20-76	50.0	34.713726430327355	74.4096448895219	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD060_S7_R1_001_val_1	LVAD060_S7_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31776986.0	0.0	20-76	49.0	22.816259241977722	75.04337560522575	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD060_S7_R2_001_val_2	LVAD060_S7_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31776986.0	0.0	20-76	50.0	29.594925316816685	74.56753488200549	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD066_S8_R1_001_val_1	LVAD066_S8_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36487020.0	0.0	20-76	48.0	24.497355819121573	75.0359704903278	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD066_S8_R2_001_val_2	LVAD066_S8_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36487020.0	0.0	20-76	49.0	32.858451929190515	74.40035239929158	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD067_S9_R1_001_val_1	LVAD067_S9_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33789273.0	0.0	20-76	49.0	23.261708659588024	75.03749926788895	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD067_S9_R2_001_val_2	LVAD067_S9_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33789273.0	0.0	20-76	50.0	29.95951768965433	74.55786367466385	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD075_S10_R1_001_val_1	LVAD075_S10_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36182403.0	0.0	20-76	48.0	22.128338920796914	75.03518580565255	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD075_S10_R2_001_val_2	LVAD075_S10_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36182403.0	0.0	20-76	49.0	28.953626338665938	74.48353941555513	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
