Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LVAD001_S1	87.41	30879317.0						
LVAD001_S1_	87.91	30514041.0						
LVAD001_S1_R1_001			0.46615845208619955					
LVAD001_S1_R1_001_val_1				72.09208020635913	49.0	75.02954598353898	25.0	34709997.0
LVAD001_S1_R2_001			2.4834453770269214					
LVAD001_S1_R2_001_val_2				63.3311940503438	50.0	74.369924376542	25.0	34709997.0
LVAD006_S2	87.97	26717934.0						
LVAD006_S2_	88.55	26370957.0						
LVAD006_S2_R1_001			0.5909327442078447					
LVAD006_S2_R1_001_val_1				75.61266511278482	49.0	75.03656527912351	25.0	29779398.0
LVAD006_S2_R2_001			2.27531092493578					
LVAD006_S2_R2_001_val_2				68.72027406461444	51.0	74.5099193744615	25.0	29779398.0
LVAD013_S3	89.2	34226365.0						
LVAD013_S3_	89.52	33817529.0						
LVAD013_S3_R1_001			0.43036881957579604					
LVAD013_S3_R1_001_val_1				73.83747507212806	48.0	75.03482585563336	25.0	37777191.0
LVAD013_S3_R2_001			2.26729047256363					
LVAD013_S3_R2_001_val_2				65.74582079642957	49.0	74.44852699609137	25.0	37777191.0
LVAD014_S4	89.02	30182826.0						
LVAD014_S4_	89.24	29816258.0						
LVAD014_S4_R1_001			0.42518278312126173					
LVAD014_S4_R1_001_val_1				74.67207719608861	49.0	75.03420288248456	25.0	33412564.0
LVAD014_S4_R2_001			2.1734596751581594					
LVAD014_S4_R2_001_val_2				67.18134499850504	50.0	74.4828462730367	25.0	33412564.0
LVAD032_S5	90.36	37405024.0						
LVAD032_S5_	90.09	36808532.0						
LVAD032_S5_R1_001			0.42761005129331453					
LVAD032_S5_R1_001_val_1				73.46842956658053	49.0	75.026145395174	25.0	40857711.0
LVAD032_S5_R2_001			1.9963010545117879					
LVAD032_S5_R2_001_val_2				65.85337267599182	50.0	74.52246421734199	25.0	40857711.0
