Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
LVAD001_S1	35325048.0	150.0	30879317.0	87.41	150.54	12444235.0	12364576.0	12299842.0	122737.0	7292.0	14364.0	0.49	0.02	1.21	0.0	1.38	2700673.0	7.65	6631.0	0.02	0.0	4.87	0.06	0	1717270	21157
LVAD001_S1_	34709997.0	149.0	30514041.0	87.91	149.48	12098891.0	12020890.0	11956083.0	122037.0	6744.0	14027.0	0.48	0.02	1.2	0.0	1.37	3304387.0	9.52	18437.0	0.05	0.0	2.51	0.01	0	869667	3465
LVAD006_S2	30371557.0	150.0	26717934.0	87.97	150.57	10744988.0	10679970.0	10635769.0	90444.0	6703.0	12072.0	0.46	0.02	1.21	0.0	1.42	2132114.0	7.02	5632.0	0.02	0.0	4.89	0.11	0	1482528	33349
LVAD006_S2_	29779398.0	150.0	26370957.0	88.55	149.62	10461787.0	10398639.0	10353942.0	89736.0	6366.0	11743.0	0.45	0.02	1.2	0.0	1.41	2643170.0	8.88	15372.0	0.05	0.0	2.51	0.01	0	746923	2976
LVAD013_S3	38369663.0	150.0	34226365.0	89.2	150.56	13285046.0	13200952.0	13119019.0	143936.0	7578.0	14513.0	0.45	0.02	1.2	0.0	1.39	2407714.0	6.28	6091.0	0.02	0.0	4.46	0.05	0	1710319	19174
LVAD013_S3_	37777191.0	149.0	33817529.0	89.52	149.56	12909780.0	12827638.0	12745688.0	143130.0	6932.0	14030.0	0.44	0.02	1.2	0.0	1.39	3040559.0	8.05	26106.0	0.07	0.0	2.35	0.01	0	889213	3784
LVAD014_S4	33906432.0	150.0	30182826.0	89.02	150.57	11720994.0	11652529.0	11591572.0	111153.0	6442.0	11827.0	0.43	0.02	1.19	0.0	1.4	2230338.0	6.58	4994.0	0.01	0.0	4.35	0.04	0	1474713	13561
LVAD014_S4_	33412564.0	149.0	29816258.0	89.24	149.59	11392075.0	11325959.0	11264342.0	110288.0	5955.0	11490.0	0.42	0.02	1.19	0.0	1.38	2790061.0	8.35	17938.0	0.05	0.0	2.35	0.01	0	784967	3340
LVAD032_S5	41394467.0	150.0	37405024.0	90.36	150.55	14744194.0	14647835.0	14564030.0	155524.0	8924.0	15716.0	0.49	0.02	1.21	0.0	1.43	2286769.0	5.52	6641.0	0.02	0.0	4.07	0.03	0	1683623	12410
LVAD032_S5_	40857711.0	150.0	36808532.0	90.09	149.62	14265186.0	14171431.0	14087491.0	154342.0	8149.0	15204.0	0.48	0.02	1.21	0.0	1.41	3089999.0	7.56	23111.0	0.06	0.0	2.28	0.01	0	931981	4088
LVAD054_S6	34560493.0	150.0	30060887.0	86.98	150.54	10843645.0	10780819.0	10733507.0	93162.0	6049.0	10927.0	0.48	0.02	1.19	0.0	1.38	2941502.0	8.51	6029.0	0.02	0.0	4.46	0.03	0	1541705	10370
LVAD054_S6_	34072267.0	149.0	29645397.0	87.01	149.6	10502206.0	10441582.0	10393555.0	92397.0	5613.0	10641.0	0.47	0.02	1.19	0.0	1.36	3544589.0	10.4	17976.0	0.05	0.0	2.53	0.01	0	860902	3403
LVAD058_S9	43502611.0	150.0	39167101.0	90.03	150.54	15864391.0	15764100.0	15672094.0	164919.0	9269.0	18109.0	0.48	0.02	1.2	0.0	1.39	2523305.0	5.8	6402.0	0.01	0.0	4.12	0.03	0	1792749	13054
LVAD058_S9_	43082339.0	149.0	38652130.0	89.72	149.54	15403820.0	15306214.0	15213869.0	163787.0	8565.0	17599.0	0.47	0.02	1.2	0.0	1.38	3270169.0	7.59	23898.0	0.06	0.0	2.63	0.01	0	1131838	4304
LVAD060_S7	32228366.0	150.0	28851720.0	89.52	150.59	11725923.0	11660641.0	11601899.0	105580.0	6288.0	12156.0	0.43	0.02	1.22	0.0	1.37	2073108.0	6.43	4744.0	0.01	0.0	3.98	0.05	0	1282680	16114
LVAD060_S7_	31776986.0	150.0	28463949.0	89.57	149.71	11399836.0	11336444.0	11277283.0	104827.0	5874.0	11852.0	0.43	0.02	1.21	0.0	1.37	2608393.0	8.21	20085.0	0.06	0.0	2.15	0.01	0	681390	3169
LVAD066_S8	37059467.0	150.0	32783028.0	88.46	150.54	11854205.0	11783613.0	11722662.0	111537.0	7319.0	12687.0	0.5	0.02	1.19	0.0	1.39	2524080.0	6.81	4595.0	0.01	0.0	4.68	0.03	0	1736632	11132
LVAD066_S8_	36487020.0	149.0	32376384.0	88.73	149.49	11480682.0	11412489.0	11350911.0	110788.0	6723.0	12260.0	0.49	0.02	1.19	0.0	1.38	3165952.0	8.68	18238.0	0.05	0.0	2.53	0.01	0	922799	3647
LVAD067_S9	34428917.0	150.0	30554321.0	88.75	150.56	12392619.0	12318845.0	12254595.0	118367.0	7026.0	12631.0	0.46	0.02	1.2	0.0	1.47	2227530.0	6.47	5267.0	0.02	0.0	4.66	0.1	0	1607307	34492
LVAD067_S9_	33789273.0	150.0	30125268.0	89.16	149.67	12038566.0	11966590.0	11902475.0	117363.0	6432.0	12296.0	0.45	0.02	1.2	0.0	1.45	2816755.0	8.34	17589.0	0.05	0.0	2.45	0.01	0	826288	3373
LVAD075_S10	36731492.0	150.0	31791359.0	86.55	150.55	12111410.0	12039649.0	11985801.0	105745.0	7010.0	12854.0	0.53	0.02	1.17	0.0	1.44	3317454.0	9.03	4656.0	0.01	0.0	4.37	0.04	0	1603347	14676
LVAD075_S10_	36182403.0	149.0	31412305.0	86.82	149.57	11772253.0	11702852.0	11648404.0	104922.0	6389.0	12538.0	0.52	0.02	1.17	0.0	1.42	3910964.0	10.81	13442.0	0.04	0.0	2.33	0.01	0	842078	3614
LVAD079_S11	36821816.0	150.0	31790794.0	86.34	150.54	11225778.0	11160331.0	11088596.0	119471.0	5896.0	11815.0	0.56	0.02	1.18	0.0	1.37	3470147.0	9.42	5374.0	0.01	0.0	4.18	0.05	0	1537114	18387
LVAD079_S11_	36272041.0	150.0	31427258.0	86.64	149.6	10885589.0	10822094.0	10749889.0	118725.0	5404.0	11571.0	0.55	0.02	1.18	0.0	1.35	4026220.0	11.1	17680.0	0.05	0.0	2.2	0.01	0	797259	3624
LVAD083_S1	40761002.0	150.0	36851455.0	90.41	150.51	12882613.0	12794309.0	12734220.0	124570.0	7486.0	16337.0	0.49	0.02	1.23	0.0	1.37	2037880.0	5.0	4956.0	0.01	0.0	4.54	0.04	0	1850408	16303
LVAD083_S1_	40217177.0	149.0	36384122.0	90.47	149.51	12491535.0	12406429.0	12345123.0	123656.0	6845.0	15911.0	0.48	0.02	1.23	0.0	1.36	2723048.0	6.77	21861.0	0.05	0.0	2.7	0.01	0	1084131	4015
LVAD084_S2	43170357.0	150.0	37647145.0	87.21	150.51	11654973.0	11580017.0	11505652.0	126555.0	6639.0	16127.0	0.53	0.02	1.18	0.0	1.36	3639452.0	8.43	6303.0	0.01	0.0	4.28	0.07	0	1847245	30212
LVAD084_S2_	42595483.0	149.0	37273460.0	87.51	149.52	11317676.0	11245559.0	11170075.0	125825.0	6060.0	15716.0	0.52	0.02	1.18	0.0	1.35	4229047.0	9.93	18296.0	0.04	0.0	2.51	0.01	0	1070415	4265
LVAD087_S3	44359450.0	150.0	38965476.0	87.84	150.52	13977121.0	13884250.0	13824190.0	128576.0	8506.0	15849.0	0.57	0.02	1.21	0.0	1.4	3492772.0	7.87	6259.0	0.01	0.0	4.23	0.04	0	1877192	17751
LVAD087_S3_	43820293.0	149.0	38437203.0	87.72	149.54	13541344.0	13451290.0	13390828.0	127314.0	7806.0	15396.0	0.56	0.02	1.2	0.0	1.39	4242765.0	9.68	20875.0	0.05	0.0	2.55	0.01	0	1115077	4373
LVAD090_S4	45922729.0	150.0	40874221.0	89.01	150.52	16016924.0	15917234.0	15832184.0	157815.0	9288.0	17637.0	0.48	0.02	1.19	0.0	1.41	3222537.0	7.02	6806.0	0.01	0.0	3.89	0.07	0	1787008	32157
LVAD090_S4_	45388368.0	149.0	40339303.0	88.88	149.58	15569399.0	15472136.0	15386967.0	156620.0	8657.0	17155.0	0.47	0.02	1.19	0.0	1.4	3954459.0	8.71	24925.0	0.05	0.0	2.35	0.01	0	1065148	4533
LVAD092_S5	41064403.0	150.0	36700199.0	89.37	150.49	12324925.0	12244233.0	12182311.0	121140.0	7135.0	14339.0	0.43	0.02	1.18	0.0	1.35	2743170.0	6.68	5574.0	0.01	0.0	3.88	0.05	0	1594907	20553
LVAD092_S5_	40567539.0	149.0	36293939.0	89.47	149.55	11975669.0	11896894.0	11834886.0	120236.0	6632.0	13915.0	0.42	0.02	1.18	0.0	1.34	3330411.0	8.21	20427.0	0.05	0.0	2.26	0.01	0	918697	4065
LVAD106_S6	36658479.0	150.0	31226747.0	85.18	150.49	9265581.0	9207135.0	9180601.0	67805.0	5591.0	11584.0	0.51	0.02	1.17	0.0	1.36	3786352.0	10.33	6728.0	0.02	0.0	4.43	0.04	0	1623988	14664
LVAD106_S6_	36188848.0	149.0	30865387.0	85.29	149.51	8979533.0	8923542.0	8896055.0	67149.0	5011.0	11318.0	0.5	0.02	1.16	0.0	1.35	4350227.0	12.02	16023.0	0.04	0.0	2.64	0.01	0	953599	3612
LVAD111_S7	34291411.0	150.0	30342436.0	88.48	150.5	9126043.0	9067350.0	9025933.0	82006.0	5678.0	12426.0	0.55	0.02	1.2	0.0	1.39	2546264.0	7.43	4961.0	0.01	0.0	4.03	0.05	0	1380621	17129
LVAD111_S7_	33881447.0	149.0	29950108.0	88.4	149.58	8822072.0	8765686.0	8723633.0	81300.0	5077.0	12062.0	0.54	0.02	1.2	0.0	1.38	3089927.0	9.12	16200.0	0.05	0.0	2.43	0.01	0	821830	3382
LVAD119_S8	36677060.0	150.0	32505185.0	88.63	150.49	11246097.0	11181545.0	11114752.0	112639.0	6422.0	12284.0	0.5	0.02	1.18	0.0	1.43	2619233.0	7.14	5153.0	0.01	0.0	4.18	0.04	0	1532821	14668
LVAD119_S8_	36216830.0	149.0	32066065.0	88.54	149.52	10870778.0	10808483.0	10741352.0	111713.0	5801.0	11912.0	0.49	0.02	1.18	0.0	1.41	3236328.0	8.94	18863.0	0.05	0.0	2.47	0.01	0	891963	3611
LVAD121_S9	43828327.0	150.0	39286439.0	89.64	150.52	15170366.0	15067304.0	14998593.0	146054.0	9293.0	16426.0	0.44	0.02	1.2	0.0	1.37	2804631.0	6.4	6009.0	0.01	0.0	3.9	0.05	0	1709333	21915
LVAD121_S9_	43330272.0	149.0	38805546.0	89.56	149.57	14756643.0	14655899.0	14586929.0	145043.0	8675.0	15996.0	0.43	0.02	1.19	0.0	1.37	3485653.0	8.04	18561.0	0.04	0.0	2.35	0.01	0	1016188	4324
LVAD122_S10	41713037.0	150.0	37574347.0	90.08	150.55	12952218.0	12873141.0	12805658.0	125078.0	7716.0	13766.0	0.45	0.02	1.17	0.0	1.4	2461919.0	5.9	5457.0	0.01	0.0	3.96	0.05	0	1650475	20839
LVAD122_S10_	41230610.0	149.0	37119400.0	90.03	149.61	12557138.0	12479968.0	12412703.0	124043.0	7091.0	13301.0	0.44	0.02	1.17	0.0	1.4	3102759.0	7.53	17352.0	0.04	0.0	2.39	0.01	0	986969	4130
LVAD125_S11	43180909.0	150.0	37859881.0	87.68	150.51	12862892.0	12777769.0	12726664.0	114311.0	7560.0	14357.0	0.5	0.02	1.22	0.0	1.38	3406698.0	7.89	7324.0	0.02	0.0	4.38	0.03	0	1894033	12973
LVAD125_S11_	42657453.0	149.0	37405880.0	87.69	149.5	12482418.0	12399766.0	12348258.0	113320.0	6877.0	13963.0	0.49	0.02	1.22	0.0	1.37	4104414.0	9.62	17591.0	0.04	0.0	2.64	0.01	0	1125305	4263
LVAD127_S12	47837148.0	150.0	42970582.0	89.83	150.51	16800916.0	16695133.0	16605080.0	166216.0	10727.0	18893.0	0.48	0.02	1.21	0.0	1.46	2920182.0	6.1	8652.0	0.02	0.0	4.0	0.05	0	1913809	23923
LVAD127_S12_	47272940.0	149.0	42238809.0	89.35	149.56	16247980.0	16145536.0	16055025.0	164906.0	9813.0	18236.0	0.47	0.02	1.21	0.0	1.45	3864250.0	8.17	27907.0	0.06	0.0	2.4	0.01	0	1137236	4738
